trip_id,arrival_time,departure_time,stop_id,stop_sequence
HAK070,7:15:00,7:15:00,pk,1
HAK070,7:25:00,7:25:00,ac,2
HAK070,7:35:00,7:35:00,mb,4
HAK070,7:45:00,7:45:00,hm,6
HAK070,7:50:00,7:50:00,an,7
HAK085,8:30:00,8:30:00,bd,3
HAK085,8:35:00,8:35:00,mb,4
HAK085,8:40:00,8:40:00,hr,5
HAK085,8:45:00,8:45:00,hm,6
HAK085,8:50:00,8:50:00,an,7
HAK085,9:00:00,9:00:00,kn,10
HAK100,10:10:00,10:10:00,pk,1
HAK100,10:20:00,10:20:00,bd,3
HAK100,10:25:00,10:25:00,mb,4
HAK100,10:30:00,10:30:00,hr,5
HAK100,10:35:00,10:35:00,hm,6
HAK100,10:40:00,10:40:00,an,7
HAK115,11:30:00,11:30:00,pk,1
HAK115,11:40:00,11:40:00,bd,3
HAK115,11:50:00,11:50:00,mb,4
HAK115,11:55:00,11:55:00,hr,5
HAK115,12:00:00,12:00:00,hm,6
HAK115,12:05:00,12:05:00,an,7
HAK115,12:15:00,12:15:00,kn,10
HAK145,14:15:00,14:15:00,ac,2
HAK145,14:20:00,14:20:00,mb,4
HAK145,14:25:00,14:25:00,hr,5
HAK145,14:30:00,14:30:00,hm,6
HAK145,14:35:00,14:35:00,an,7
HAK145,14:40:00,14:40:00,ch,8
HAK145,14:50:00,14:50:00,kn,10
HAK165,16:20:00,16:20:00,pk,1
HAK165,16:38:00,16:38:00,ac,2
HAK165,16:45:00,16:45:00,mb,4
HAK165,16:50:00,16:50:00,hr,5
HAK165,16:55:00,16:55:00,hm,6
HAK165,17:00:00,17:00:00,an,7
HAK165,17:10:00,17:10:00,gs,9
HAK165,17:20:00,17:20:00,kn,10
HAK080,7:50:00,7:50:00,an,5
HAK080,8:00:00,8:00:00,mb,7
HAK080,8:05:00,8:05:00,ac,8
HAK080,8:30:00,8:30:00,bd,10
HAK090,9:00:00,9:00:00,kn,1
HAK090,9:05:00,9:05:00,gs,2
HAK090,9:10:00,9:10:00,ch,3
HAK090,9:15:00,9:15:00,kt,4
HAK090,9:20:00,9:20:00,an,5
HAK090,9:25:00,9:25:00,kw,6
HAK090,9:30:00,9:30:00,mb,7
HAK090,9:35:00,9:35:00,ac,8
HAK090,9:50:00,9:50:00,pk,9
HAK105,10:40:00,10:40:00,an,5
HAK105,10:45:00,10:45:00,kw,6
HAK105,10:50:00,10:50:00,mb,7
HAK105,10:55:00,10:55:00,ac,8
HAK105,11:10:00,11:10:00,pk,9
HAK105,11:40:00,11:40:00,bd,10
HAK120,12:15:00,12:15:00,kn,1
HAK120,12:20:00,12:20:00,gs,2
HAK120,12:25:00,12:25:00,ch,3
HAK120,12:30:00,12:30:00,kt,4
HAK120,12:35:00,12:35:00,an,5
HAK120,12:40:00,12:40:00,kw,6
HAK120,12:45:00,12:45:00,mb,7
HAK130,14:50:00,14:50:00,kn,1
HAK130,14:55:00,14:55:00,gs,2
HAK130,15:00:00,15:00:00,ch,3
HAK130,15:05:00,15:05:00,kt,4
HAK130,15:10:00,15:10:00,an,5
HAK130,15:15:00,15:15:00,kw,6
HAK130,15:20:00,15:20:00,mb,7
HAK130,15:25:00,15:25:00,ac,8
HAK130,15:40:00,15:40:00,pk,9
HDT050,5:00:00,5:00:00,mb,1
HDT050,5:03:00,5:03:00,ac,2
HDT050,5:15:00,5:15:00,pk,3
HDT071,7:05:00,7:05:00,mb,1
HDT071,7:15:00,7:15:00,ac,2
HDT071,7:25:00,7:25:00,pk,3
HDT074,7:25:00,7:25:00,mb,1
HDT074,7:30:00,7:30:00,ac,2
HDT074,7:45:00,7:45:00,pk,3
HDT075,7:30:00,7:30:00,mb,1
HDT075,7:35:00,7:35:00,ac,2
HDT075,7:55:00,7:55:00,pk,3
HDT077,7:40:00,7:40:00,mb,1
HDT077,7:43:00,7:43:00,ac,2
HDT077,8:00:00,8:00:00,pk,3
HDT080,8:00:00,8:00:00,mb,1
HDT080,8:05:00,8:05:00,ac,2
HDT084,8:25:00,8:25:00,mb,1
HDT084,8:30:00,8:30:00,ac,2
HDT084,8:45:00,8:45:00,pk,3
HDT094,9:25:00,9:25:00,mb,1
HDT094,9:30:00,9:30:00,ac,2
HDT094,9:45:00,9:45:00,pk,3
HDT095,9:30:00,9:30:00,mb,1
HDT095,9:35:00,9:35:00,ac,2
HDT095,9:50:00,9:50:00,pk,3
HDT097,9:45:00,9:45:00,mb,1
HDT097,9:55:00,9:55:00,ac,2
HDT097,10:05:00,10:05:00,pk,3
HDT100,10:00:00,10:00:00,mb,1
HDT100,10:05:00,10:05:00,ac,2
HDT100,10:20:00,10:20:00,pk,3
HDT104,10:25:00,10:25:00,mb,1
HDT104,10:30:00,10:30:00,ac,2
HDT104,10:45:00,10:45:00,pk,3
HDT108,10:50:00,10:50:00,mb,1
HDT108,10:55:00,10:55:00,ac,2
HDT108,11:10:00,11:10:00,pk,3
HDT110,11:00:00,11:00:00,mb,1
HDT110,11:05:00,11:05:00,ac,2
HDT110,11:20:00,11:20:00,pk,3
HDT121,12:05:00,12:05:00,mb,1
HDT121,12:10:00,12:10:00,ac,2
HDT121,12:25:00,12:25:00,pk,3
HDT123,12:15:00,12:15:00,mb,1
