route_id,service_id,trip_id,direction_id,trip_short_name,trip_headsign,shape_id
hilo-kaumana,NOSUN,HAK070,0,to Ainako and Kaumana (7:15am - 7:50am),hak910
hilo-kaumana,NOSUN,HAK085,0,to Ainako and Kaumana (8:30am - 9am),,hak920
hilo-kaumana,NOSUN,HAK100,0,to Ainako and Kaumana (10:10am - 10:40am),,hak930
hilo-kaumana,NOSUN,HAK115,0,to Ainako and Kaumana (11:30am - 12:15pm),,hak935
hilo-kaumana,NOSUN,HAK145,0,to Ainako and Kaumana (2:15pm - 2:50pm),,hak940
hilo-kaumana,NOSUN,HAK165,0,to Ainako and Kaumana (4:20pm - 5:20pm),,hak950
hilo-kaumana,NOSUN,HAK080,1,to Downtown Hilo (7:50am - 8am),,hak960
hilo-kaumana,NOSUN,HAK090,1,to Downtown Hilo (9am - 9:50am),,hak970
hilo-kaumana,NOSUN,HAK105,1,to Downtown Hilo (10:40am - 11:40am),,hak980
hilo-kaumana,NOSUN,HAK120,1,to Downtown Hilo (12:15pm - 12:45pm),,hak990
hilo-kaumana,NOSUN,HAK130,1,to Downtown Hilo (2:50pm - 3:40pm),,hak970
hilo-downtown,NOSUN,HDT050,0,to Prince Kuhio Plaza (5am - 5:15am | Mon - Sat),VOLCANO,hdt900
hilo-downtown,NOSUN,HDT071,0,to Prince Kuhio Plaza (7:05am - 7:25am | Mon - Sat),6 WAIAKEA UKA,hdt900
hilo-downtown,NOSUN,HDT074,0,to Prince Kuhio Plaza (7:25am - 7:45am | Mon - Sat),KEAUKAHA,hdt900
hilo-downtown,NOSUN,HDT075,0,to Prince Kuhio Plaza (7:30am - 7:55am | Mon - Sat),9 PAHOA,hdt900
hilo-downtown,NOSUN,HDT077,0,to Prince Kuhio Plaza (7:40am - 8am | Mon - Sat),VOLCANO,hdt900
hilo-downtown,NOSUN,HDT080,0,to Prince Kuhio Plaza (8am - 8:05am | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT084,0,to Prince Kuhio Plaza (8:25am - 8:45am | Mon - Sat),KEAUKAHA,hdt900
hilo-downtown,NOSUN,HDT094,0,to Prince Kuhio Plaza (9:25am - 9:45am | Mon - Sat),KEAUKAHA,hdt900
hilo-downtown,NOSUN,HDT095,0,to Prince Kuhio Plaza (9:30am - 9:50am | Mon - Sat),6 WAIAKEA UKA,hdt900
hilo-downtown,NOSUN,HDT097,0,to Prince Kuhio Plaza (9:45am - 10:05am | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,WD,HDT100,0,to Prince Kuhio Plaza (10am - 10:20am | Mon - Fri),9 PAHOA,hdt900
hilo-downtown,NOSUN,HDT104,0,to Prince Kuhio Plaza (10:25am - 10:45am | Mon - Sat),KEAUKAHA,hdt900
hilo-downtown,NOSUN,HDT108,0,to Prince Kuhio Plaza (10:50am - 11:10am | Mon - Sat),6 WAIAKEA UKA,hdt900
hilo-downtown,WD,HDT110,0,to Prince Kuhio Plaza (11am - 11:20am | Mon - Fri),9 PAHOA,hdt900
hilo-downtown,NOSUN,HDT121,0,to Prince Kuhio Plaza (12:05pm - 12:25pm | Mon - Sat),6 WAIAKEA UKA,hdt900
hilo-downtown,WD,HDT123,0,to Prince Kuhio Plaza (12:15pm - 12:40pm | Mon - Fri),9 PAHOA,hdt900
hilo-downtown,NOSUN,HDT130,0,to Prince Kuhio Plaza (1pm - 1:20pm | Mon - Sat),KEAUKAHA,hdt900
hilo-downtown,NOSUN,HDT138,0,to Prince Kuhio Plaza (1:40pm - 1:55pm | Mon - Sat),VOLCANO,hdt900
hilo-downtown,SAT,HDT139,0,to Prince Kuhio Plaza (1:45pm - 2:10pm | Sat),9 PAHOA,hdt900
hilo-downtown,WD,HDT140,0,to Prince Kuhio Plaza (2pm - 2:25pm | Mon - Fri),9 PAHOA,hdt900
hilo-downtown,WD,HDT147,0,to Prince Kuhio Plaza (2:40pm - 3:10pm | Mon - Fri),9 PAHOA,hdt900
hilo-downtown,NOSUN,HDT150,0,to Prince Kuhio Plaza (3pm - 3:20pm | Mon - Sat),KEAUKAHA,hdt900
hilo-downtown,NOSUN,HDT153,0,to Prince Kuhio Plaza (3:20pm - 3:40pm | Mon - Sat),6 WAIAKEA UKA,hdt900
hilo-downtown,NOSUN,HDT160,0,to Prince Kuhio Plaza (4pm - 4:20pm | Mon - Sat),9 PAHOA / KEAUKAHA,hdt900
hilo-downtown,NOSUN,HDT167,0,to Prince Kuhio Plaza (4:40pm - 5pm | Mon - Sat),VOLCANO,hdt900
hilo-downtown,WD,HDT178,0,to Prince Kuhio Plaza (5:45pm - 6:05pm | Mon - Fri),9 PAHOA,hdt900
hilo-downtown,WD,HDT191,0,to Prince Kuhio Plaza (7:05pm - 7:25pm | Mon - Fri),9 PAHOA,hdt900
hilo-downtown,SAT,HDT200,0,to Prince Kuhio Plaza (8pm - 8:20pm),9 PAHOA,hdt900
hilo-downtown,WD,HDT215,0,to Prince Kuhio Plaza (9:30pm - 9:48pm),9 PAHOA,hdt900
hilo-downtown,NOSUN,HDT070,1,to Downtown Hilo (7am - 7:20 | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT072,1,to Downtown Hilo (7:15am - 7:35am | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT078,1,to Downtown Hilo (7:45am - 8:20am | Mon - Sat),KEAUKAHA,hdt900
hilo-downtown,NOSUN,HDT081,1,to Downtown Hilo (8:05am - 8:25am | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT085,1,to Downtown Hilo (8:45am - 9:20am | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT090,1,to Downtown Hilo (9am - 9:15am | Mon - Sat),WAIMEA,hdt900
hilo-downtown,NOSUN,HDT101,1,to Downtown Hilo (10:10am - 10:25am | Mon - Sat),4 KAUMANA,hdt900
hilo-downtown,NOSUN,HDT103,1,to Downtown Hilo (10:20am - 10:40am | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT105,1,to Downtown Hilo (10:35am - 10:55am | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT115,1,to Downtown Hilo (11:30am - 11:50am | Mon - Sat),4 KAUMANA,hdt900
hilo-downtown,WD,HDT127,1,to Downtown Hilo (12:45pm - 1:05pm | Mon - Fri),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT128,1,to Downtown Hilo (12:50pm - 1:10pm | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT129,1,to Downtown Hilo (12:55pm - 1:15pm | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT131,1,to Downtown Hilo (1:10pm - 1:30pm | Mon - Sat),16 KAILUA-KONA,hdt900
hilo-downtown,NOSUN,HDT141,1,to Downtown Hilo (2:15pm - 2:20pm | Mon - Sat),4 KAUMANA,hdt900
hilo-downtown,NOSUN,HDT142,1,to Downtown Hilo (2:20pm - 2:55pm | Mon - Sat),KEAUKAHA,hdt900
hilo-downtown,WD,HDT152,1,to Downtown Hilo (3:20pm - 3:40pm | Mon - Fri),7 DOWNTOWN HILO,hdt900
hilo-downtown,SAT,HDT157,1,to Downtown Hilo (3:45pm - 4pm | Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT162,1,to Downtown Hilo (4:20pm - 4:45pm | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT163,1,to Downtown Hilo (4:25pm - 4:45pm | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,WD,HDT185,1,to Downtown Hilo (6:30pm - 6:50pm | Mon - Fri),7 DOWNTOWN HILO,hdt900
hilo-downtown,NOSUN,HDT186,1,to Downtown Hilo (6:35pm - 6:55pm | Mon - Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,SAT,HDT195,1,to Downtown Hilo (7:40pm - 8pm | Sat),7 DOWNTOWN HILO,hdt900
hilo-downtown,WD,HDT210,1,to Downtown Hilo (9pm - 9:20pm | Mon - Fri),7 DOWNTOWN HILO,hdt900
hilo-downtown,WD,HDT216,1,to Downtown Hilo (9:40pm - 10pm | Mon - Fri),7 DOWNTOWN HILO,hdt900
hilo-keaukaha,NOSUN,HKE070,0,to Mo'oheau Bus Terminal (7am - 7:20am),,hak900
hilo-keaukaha,NOSUN,HKE080,0,to Mo'oheau Bus Terminal (8am - 8:20am),,hak900
hilo-keaukaha,NOSUN,HKE090,0,to Mo'oheau Bus Terminal (9am - 9:20am),,hak900
hilo-keaukaha,NOSUN,HKE100,0,to Mo'oheau Bus Terminal (10am - 10:20am),,hak900
hilo-keaukaha,NOSUN,HKE110,0,to Mo'oheau Bus Terminal (11am - 11:20am),,hak900
hilo-keaukaha,NOSUN,HKE135,0,to Mo'oheau Bus Terminal (1:35pm - 1:55pm),,hak900
